"","recovery_location_name","catch_area","number"
"1","BIG LAG.- NAVARRO HD","OTHER",7
"2","BIG LAG.- SPAN. FLAT","OTHER",104
"3","BIG LAG.-C.VIZCAINO","OTHER",54
"4","BIG LAG.-CENTERV.BEA","KLAMATH",6644
"5","BIG LAG.-HUMBLT.JET.","OTHER",38
"6","C.VIZCAINO-FORT ROSS","BRAGG",412
"7","C.VIZCAINO-NAVARR.HD","BRAGG",8387
"8","C.VIZCAINO-PIGEON PT","OTHER",105
"9","CA- NO. CALIF. COAST","OTHER",8
"10","CA/OR BDR.- HMBT.JET","OTHER",3802
"11","CA/OR BOR-BIG LAGOON","KLAMATH",113
"12","CA/OR BOR-CENTER.BEA","KLAMATH",17
"13","CA/OR BOR-FA.KLAM.RC","KLAMATH",3430
"14","CENTER.BE-C.VIZCAINO","OTHER",39
"15","CENTER.BE-NAVARRO HD","OTHER",22
"16","CENTERV.BE-SPAN.FLAT","KLAMATH",685
"17","FA.KLA.RC-BIG LAGOON","KLAMATH",405
"18","FA.KLA.RC-C.VIZCAINO","OTHER",39
"19","FA.KLA.RC-CENTERV.BE","KLAMATH",20
"20","FA.KLAM.RC-SPAN.FLAT","KLAMATH",17
"21","FORT ROSS-PIGEON PT","OTHER",20864
"22","FORT ROSS-POINT SUR","OTHER",8186
"23","FT.ROSS-CA/MEXI.BORD","OTHER",108
"24","NAVARRO HD-FORT ROSS","BRAGG",2058
"25","NAVARRO HD-PIGEON PT","OTHER",653
"26","NAVARRO HD-POINT SUR","OTHER",42
"27","PIGEON PT-CA/MEX.BOR","OTHER",762
"28","PIGEON PT.-POINT SUR","MONTERY",27675
"29","POINT SUR-CA/MEX.BOR","MONTERY",5197
"30","PT.ARENA-CA/MEX.BDR.","OTHER",1
"31","PT.ARENA-PIGEON PT.","OTHER",1979
"32","PT.ARENA-PT.REYES","SANFR",25178
"33","PT.ARENA-PT.SAN PEDR","OTHER",101
"34","PT.ARENA-PT.SUR","OTHER",216
"35","PT.REYES-CA/MEX.BDR","OTHER",26
"36","PT.REYES-PIGEON PT.","SANFR",28575
"37","PT.REYES-PT.SAN PEDR","OTHER",211
"38","PT.REYES-PT.SUR","OTHER",1965
"39","PT.SN.PEDRO-PIGN.PT.","SANFR",210
"40","SPAN.FLAT-C.VIZCAINO","BRAGG",5931
"41","SPAN.FLAT-NAVARRO HD","BRAGG",1371
"42","SPAN.FLAT-PIGEON PT.","OTHER",707
"43","SPAN.FLAT-PT.ARENA","OTHER",30289
"44","SPAN.FLAT-PT.REYES","OTHER",2095
"45","SPANISH FLAT-FT ROSS","OTHER",67
